title,url,page_views
Paul Ryan's 'Joke' Budget Doesn't Go Far Enough For Sarah Palin,http://talkingpointsmemo.com/livewire/sarah-palin-slams-paul-ryan-joke-budget,866
Supreme Court Strikes Down Aggregate Limits On Campaign Contributions,http://talkingpointsmemo.com/livewire/supreme-court-mccutcheon-campaign-finance,259
Ted Cruz Has Reportedly Landed A Bigger Book Deal Than Palin,http://talkingpointsmemo.com/livewire/ted-cruz-book-deal-advance,25
CNN's Anderson Cooper: 'I Don’t Believe In Inheriting Money',http://talkingpointsmemo.com/livewire/anderson-cooper-inheriting-money,4500
Wendy Davis Opponent Cites Charles Murray In Education Plan,http://talkingpointsmemo.com/livewire/wendy-davis-greg-abbott-charles-murray-education,90
RNC Chair: McCutcheon Ruling A Victory For First Amendment,http://talkingpointsmemo.com/livewire/rnc-praises-mccutcheon-decision,24
The White House Doesn't Expect Obamacare To Get Popular Anytime Soon,http://talkingpointsmemo.com/livewire/obamacare-poll-numbers-unpopular-white-house,407
Both Fort Hood Shooters Bought Their Guns At The Same Store,http://talkingpointsmemo.com/livewire/guns-galore-fort-hood,1123
Fallon Mocks Obamacare: 'Amazing' People Enrolled In Something 'Mandatory',http://talkingpointsmemo.com/livewire/jimmy-fallon-mocks-obamacare-enrollment,1528
McConnell Opponent Surprised To Learn Cockfighting Event Wasn't States Rights Rally,http://talkingpointsmemo.com/livewire/matt-bevin-cockfighting-rally,3370
Poll: Obamacare More Popular Than Obama,http://talkingpointsmemo.com/livewire/npr-poll-obamacare-more-popular-obama,256
Drunk-Driving Alaska Priest Charged With Drugs And Weapons Offenses,http://talkingpointsmemo.com/livewire/alaska-priest-charged-drunk-driving-drugs-weapons-possession,265
"Clinton Hopes That If There's An Alien Invasion, It Will At Least Unite The World (VIDEO)",http://talkingpointsmemo.com/livewire/bill-clinton-aliens-jimmy-kimmel,154
5.4 Million More Americans Have Gotten Insurance Since 2013: Study,http://talkingpointsmemo.com/livewire/urban-institute-insurance-aca,1215
Dem Rep. Complains Congress Isn't Being Paid Enough To Live 'Decently' In Washington,http://talkingpointsmemo.com/livewire/moran-congress-underpaid,2494
Robert Gibbs: Obamacare's Employer Mandate Will Not Go Into Effect,http://talkingpointsmemo.com/livewire/gibbs-obamacare-employer-mandate,429
Sarah Palin Delivers Some Vodka To Putin On 'The Tonight Show' (VIDEO),http://talkingpointsmemo.com/livewire/sarah-palin-putin-tonight-show,571
Morning Joe: How Do You 'Accidentally Stumble' Into A  Cockfighting Rally?,http://talkingpointsmemo.com/livewire/joe-scarborough-mika-brzezinski-matt-bevin-cockfighting-rally,276
Koch Email Urges Employees To Share Boss' WSJ Op-ed,http://talkingpointsmemo.com/livewire/email-koch-industries-employees-encourages,5593
Debunked Obamacare Jobs 'Costs' Claim Still Appearing In Anti-ACA Ads,http://talkingpointsmemo.com/livewire/obamacare-jobs-costs-kirkpatrick-ad,141
Absolutely Positively Last Chance Obamacare Enrollment Deadline Set,http://talkingpointsmemo.com/livewire/obamacare-enrollment-deadline-april-15,90
David Letterman Has Reportedly Announced His Retirement,http://talkingpointsmemo.com/livewire/david-letterman-retiring,1168
Humane Society Calls On McConnell Opponent To Withdraw After Speaking At Cockfighting Rally,http://talkingpointsmemo.com/livewire/humane-society-bevin-cockfighting-rally,789
Priebus: SCOTUS Ruling 'Victory' For Candidates And Parties,http://talkingpointsmemo.com/livewire/reince-priebus-victory-mccutcheon-scotus,147
David Ortiz's Selfie With Obama Was Also A Samsung Stunt,http://talkingpointsmemo.com/livewire/obama-ortiz-selfie-samsung,169
Obama: GOP Budget Is A 'Stinkburger',http://talkingpointsmemo.com/livewire/obama-gop-budget-stinkburger,1529
Fort Hood Officials Hold News Conference (WATCH LIVE),http://talkingpointsmemo.com/livewire/fort-hood-news-conference-live,297
Army Official: 'No Indication' Of Ties To Terrorism In Fort Hood Massacre,http://talkingpointsmemo.com/livewire/fort-hood-no-terrorism-ties,2088
Fort Hood Shooter Had .45-Caliber Pistol That Wasn't Registered On Base,http://talkingpointsmemo.com/livewire/fort-hood-shooter-had-unregistered-pistol,51
Hannity's Spring Break 'Investigation' Reveals How To Use A Beer Bong (VIDEO),http://talkingpointsmemo.com/livewire/hannity-spring-break-investigation,1897
Reid Trolls McConnell As Obamacare Slashes Kentucky's Uninsured Rate,http://talkingpointsmemo.com/livewire/reid-mcconnell-kentucky-uninsured-rate-40-percent,1271
Obama 'Heartbroken' There Was Another Shooting At Fort Hood,http://talkingpointsmemo.com/livewire/obama-heartbroken-fort-hood-shooting,607
Breitbart: Guy Who Called For Mass Killing Of Muslims Doesn't Work For Us,http://talkingpointsmemo.com/livewire/patrick-dollard-muslim-genocide-tweet-breitbart,1081
